block_id,start,noise,steps,p1,p2,p3,p4,p5,p6,depth,Q,action,Q_var,Q_abs,Q_abs_max,Q_diff,a_optim
62,1,0,3,20.0,20.0,0.0,-20.0,-10.0,10.0,1,17.999999523162842,0,152.3202480635646,17.999999523162842,17.999999523162842,-32.5,0
62,1,0,3,20.0,20.0,0.0,-20.0,-10.0,10.0,1,-14.500000476837158,1,152.3202480635646,14.500000476837158,17.999999523162842,-32.5,0
62,1,0,3,20.0,20.0,0.0,-20.0,-10.0,10.0,2,15.999999046325684,0,152.3202480635646,15.999999046325684,17.999999523162842,-16.774998903274536,0
62,1,0,3,20.0,20.0,0.0,-20.0,-10.0,10.0,2,-0.7749998569488525,1,152.3202480635646,0.7749998569488525,17.999999523162842,-16.774998903274536,0
62,1,0,3,20.0,20.0,0.0,-20.0,-10.0,10.0,3,1.4999985694885254,0,152.3202480635646,1.4999985694885254,17.999999523162842,10.315001010894775,1
62,1,0,3,20.0,20.0,0.0,-20.0,-10.0,10.0,3,11.8149995803833,1,152.3202480635646,11.8149995803833,17.999999523162842,10.315001010894775,1
63,4,0,3,-20.0,-20.0,20.0,20.0,-20.0,20.0,1,-22.00000047683716,0,209.86910281356185,22.00000047683716,26.000001430511475,32.99999952316284,1
63,4,0,3,-20.0,-20.0,20.0,20.0,-20.0,20.0,1,10.999999046325684,1,209.86910281356185,10.999999046325684,26.000001430511475,32.99999952316284,1
63,4,0,3,-20.0,-20.0,20.0,20.0,-20.0,20.0,2,-4.000000953674316,0,209.86910281356185,4.000000953674316,26.000001430511475,-4.950000047683716,0
63,4,0,3,-20.0,-20.0,20.0,20.0,-20.0,20.0,2,-8.950001001358032,1,209.86910281356185,8.950001001358032,26.000001430511475,-4.950000047683716,0
63,4,0,3,-20.0,-20.0,20.0,20.0,-20.0,20.0,3,-26.000001430511475,0,209.86910281356185,26.000001430511475,26.000001430511475,30.34500002861023,1
63,4,0,3,-20.0,-20.0,20.0,20.0,-20.0,20.0,3,4.344998598098755,1,209.86910281356185,4.344998598098755,26.000001430511475,30.34500002861023,1
64,4,0,3,20.0,20.0,-10.0,-10.0,-10.0,-10.0,1,-12.000000476837158,0,151.31342075824855,12.000000476837158,19.499998092651367,-1.4999985694885254,0
64,4,0,3,20.0,20.0,-10.0,-10.0,-10.0,-10.0,1,-13.499999046325684,1,151.31342075824855,13.499999046325684,19.499998092651367,-1.4999985694885254,0
64,4,0,3,20.0,20.0,-10.0,-10.0,-10.0,-10.0,2,1.4999985694885254,0,151.31342075824855,1.4999985694885254,19.499998092651367,2.7750015258789062,1
