id;block_id;group;Qm;groupXQm;Pred;intercept_ID;b_group;b_Qm_ID;b_groupXQm;Pred_TEST
27;20;0;14;0;1.9974;1.771142857;0.027779;0.016171429;0.004141;1.997542857
27;21;0;36;0;2.3534;1.771142857;0.027779;0.016171429;0.004141;2.353314286
27;22;0;27;0;2.2078;1.771142857;0.027779;0.016171429;0.004141;2.207771429
27;23;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
27;24;0;7.45;0;1.8915;1.771142857;0.027779;0.016171429;0.004141;1.89162
27;25;0;16.5;0;2.0379;1.771142857;0.027779;0.016171429;0.004141;2.037971429
27;26;0;20;0;2.0945;1.771142857;0.027779;0.016171429;0.004141;2.094571429
27;27;0;17.5;0;2.0541;1.771142857;0.027779;0.016171429;0.004141;2.054142857
27;28;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
27;29;0;6;0;1.868;1.771142857;0.027779;0.016171429;0.004141;1.868171429
27;30;0;15.5;0;2.0217;1.771142857;0.027779;0.016171429;0.004141;2.0218
27;31;0;12.5;0;1.9732;1.771142857;0.027779;0.016171429;0.004141;1.973285714
27;32;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;33;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;34;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;35;0;24;0;2.1592;1.771142857;0.027779;0.016171429;0.004141;2.159257143
27;36;0;16;0;2.0298;1.771142857;0.027779;0.016171429;0.004141;2.029885714
27;37;0;16;0;2.0298;1.771142857;0.027779;0.016171429;0.004141;2.029885714
27;38;0;6;0;1.868;1.771142857;0.027779;0.016171429;0.004141;1.868171429
27;39;0;16;0;2.0298;1.771142857;0.027779;0.016171429;0.004141;2.029885714
27;40;0;19.87;0;2.0925;1.771142857;0.027779;0.016171429;0.004141;2.092469143
27;41;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;42;0;8;0;1.9004;1.771142857;0.027779;0.016171429;0.004141;1.900514286
27;43;0;14.25;0;2.0015;1.771142857;0.027779;0.016171429;0.004141;2.001585714
27;44;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;45;0;8;0;1.9004;1.771142857;0.027779;0.016171429;0.004141;1.900514286
27;46;0;22;0;2.1269;1.771142857;0.027779;0.016171429;0.004141;2.126914286
27;47;0;12;0;1.9651;1.771142857;0.027779;0.016171429;0.004141;1.9652
27;48;0;24;0;2.1592;1.771142857;0.027779;0.016171429;0.004141;2.159257143
27;49;0;26;0;2.1916;1.771142857;0.027779;0.016171429;0.004141;2.1916
27;50;0;16;0;2.0298;1.771142857;0.027779;0.016171429;0.004141;2.029885714
30;1;0;26;0;2.1918;1.729742857;0.027779;0.017771429;0.004141;2.1918
30;2;0;22.5;0;2.1296;1.729742857;0.027779;0.017771429;0.004141;2.1296
30;3;0;22;0;2.1208;1.729742857;0.027779;0.017771429;0.004141;2.120714286
30;4;0;26;0;2.1918;1.729742857;0.027779;0.017771429;0.004141;2.1918
30;5;0;18;0;2.0497;1.729742857;0.027779;0.017771429;0.004141;2.049628571
30;6;0;12;0;1.9432;1.729742857;0.027779;0.017771429;0.004141;1.943
30;7;0;27.08;0;2.2109;1.729742857;0.027779;0.017771429;0.004141;2.210993143
30;8;0;26;0;2.1918;1.729742857;0.027779;0.017771429;0.004141;2.1918
30;9;0;12;0;1.9432;1.729742857;0.027779;0.017771429;0.004141;1.943
30;10;0;22;0;2.1208;1.729742857;0.027779;0.017771429;0.004141;2.120714286
30;11;0;24;0;2.1563;1.729742857;0.027779;0.017771429;0.004141;2.156257143
30;12;0;26;0;2.1918;1.729742857;0.027779;0.017771429;0.004141;2.1918
30;13;0;8.8;0;1.8864;1.729742857;0.027779;0.017771429;0.004141;1.886131429
30;14;0;15;0;1.9965;1.729742857;0.027779;0.017771429;0.004141;1.996314286
30;15;0;22;0;2.1208;1.729742857;0.027779;0.017771429;0.004141;2.120714286
30;16;0;8.5;0;1.8811;1.729742857;0.027779;0.017771429;0.004141;1.8808
30;17;0;16.23;0;2.0182;1.729742857;0.027779;0.017771429;0.004141;2.018173143
30;18;0;12;0;1.9432;1.729742857;0.027779;0.017771429;0.004141;1.943
30;19;0;22;0;2.1208;1.729742857;0.027779;0.017771429;0.004141;2.120714286
30;20;0;14;0;1.9787;1.729742857;0.027779;0.017771429;0.004141;1.978542857
30;21;0;36;0;2.3693;1.729742857;0.027779;0.017771429;0.004141;2.369514286
30;22;0;27;0;2.2095;1.729742857;0.027779;0.017771429;0.004141;2.209571429
30;23;0;22;0;2.1208;1.729742857;0.027779;0.017771429;0.004141;2.120714286
30;24;0;7.45;0;1.8624;1.729742857;0.027779;0.017771429;0.004141;1.86214
